Value,Count
bourg,3472
ouchy,2087
du pre,1681
palud,1459
st laurent,1399
martheray,1323
jean,1210
st pierre,1202
mercerie,1106
barre,1059
grand st jean,1027
st francois,961
etraz,935
madelaine,817
chaucrau,754
du pont,650
cour,618
marche,611
cite devant,434
cheneau de bourg,422
cite derriere,383
chally,340
l halle,339
maupas,336
chene,299
st etienne,297
chaz,254
menerier,249
rapes,235
la sallaz,235
grotte,182
challe de st laurent,174
petit st jean,163
grand chene,161
chavannes,157
grangette,155
vennes,142
cite dessons,137
hopital,131
place st francois,130
montoye,127
petit chene,126
montbenon,126
jardin,122
montee st laurent,119
plaurent,117
pepinet,116
chemin neuf,113
berallaz,112
escaliers du marche,106
chauderon,105
bois gentil,102
riponne,102
valentin,101
rasude,100
montblesson,93
caulard,92
montherond,92
caroline,91
cite dessous,91
devin,88
mauborget,88
college,86
rapaz,82
pre du marche,80
ais,80
brasserie,80
montoie,80
la tour,76
calvaire,74
villars,74
contigny,73
sebillon,73
chabliere,71
sallaz,67
gottettaz,66
croix rouge,66
grange veuve,64
verdonnet,63
servant,63
rosemont,63
boston,61
montrion,61
martin,59
chemin de moulins,59
monbe clauron,54
malley,54
st roch,53
mornex,53
epinettes,53
bauchardon,52
georgette,52
berne,51
la grotte,50
vuillettaz,50
jorgne,50
beaulieu,49
des cheneaux,49
monblesson,49
dessert,48
